condition,feature_id,direction,confirmed,analysis_length_label,rank,token_id,token_text,activation_mass,within_label_mass_share
full_token_uniform,24326,short,False,short,18,382,.\n\n,1.734375,0.00022377701326231606
full_token_uniform,24326,short,False,short,19,17767, \(,1.390625,0.00017942481243555071
full_token_uniform,24326,short,False,short,20,481, -,1.234375,0.00015926472115065736
full_token_uniform,24326,short,False,long,1,16141,Answer,4973.1875,0.6361017374264664
full_token_uniform,24326,short,False,long,2,25,:,2687.140625,0.34370206638533957
full_token_uniform,24326,short,False,long,3,21806, Answer,29.5,0.0037732342193172405
full_token_uniform,24326,short,False,long,4,4226, answer,17.3125,0.00221437686176033
full_token_uniform,24326,short,False,long,5,15,0,16.46875,0.0021064559677756206
full_token_uniform,24326,short,False,long,6,501, new,11.5625,0.0014789159546052743
full_token_uniform,24326,short,False,long,7,74216, Calculation,10.140625,0.0012970492628903013
full_token_uniform,24326,short,False,long,8,510,:\n,9.203125,0.0011771371584628468
full_token_uniform,24326,short,False,long,9,16,1,6.0625,0.0007754316086308736
full_token_uniform,24326,short,False,long,10,8039, budget,5.625,0.000719472626564728
full_token_uniform,24326,short,False,long,11,284, =,4.5859375,0.0005865700441576324
full_token_uniform,24326,short,False,long,12,382,.\n\n,4.2109375,0.0005386052023866506
full_token_uniform,24326,short,False,long,13,1124, \,4.09375,0.0005236161893332188
full_token_uniform,24326,short,False,long,14,4322,/p,3.640625,0.0004656586721932823
full_token_uniform,24326,short,False,long,15,35,D,3.59375,0.0004596630669719096
full_token_uniform,24326,short,False,long,16,20,5,3.375,0.00043168357593883686
full_token_uniform,24326,short,False,long,17,13023, Final,2.96875,0.00037972166402027314
full_token_uniform,24326,short,False,long,18,481, -,2.921875,0.0003737260587989004
full_token_uniform,24326,short,False,long,19,448, with,2.71875,0.00034774510283961855
full_token_uniform,24326,short,False,long,20,22,7,2.25,0.0002877890506258912
full_token_uniform,10807,short,False,short,1,16141,Answer,4761.1875,0.9809454826403979
full_token_uniform,10807,short,False,short,2,84669, knocks,17.1875,0.0035411334846363095
full_token_uniform,10807,short,False,short,3,16,1,7.44921875,0.0015347594443639642
full_token_uniform,10807,short,False,short,4,582, we,7.0390625,0.0014502551225715067
full_token_uniform,10807,short,False,short,5,21806, Answer,6.25,0.0012876849035041125
full_token_uniform,10807,short,False,short,6,25,:,5.9375,0.0012233006583289069
